,precision,recall,f1-score,support
0,0.0,0.0,0.0,76.0
1,0.0,0.0,0.0,76.0
2,0.0,0.0,0.0,76.0
3,0.0,0.0,0.0,76.0
4,0.0,0.0,0.0,76.0
5,0.0,0.0,0.0,76.0
6,0.0,0.0,0.0,76.0
7,0.0,0.0,0.0,76.0
8,0.0,0.0,0.0,76.0
9,0.0,0.0,0.0,76.0
10,0.0,0.0,0.0,76.0
11,0.0,0.0,0.0,76.0
12,0.0,0.0,0.0,75.0
13,0.0,0.0,0.0,76.0
14,0.0,0.0,0.0,76.0
15,0.0,0.0,0.0,75.0
16,0.0,0.0,0.0,76.0
17,0.0,0.0,0.0,76.0
18,0.0,0.0,0.0,75.0
19,0.0,0.0,0.0,76.0
20,0.0,0.0,0.0,76.0
21,0.0,0.0,0.0,76.0
22,0.0,0.0,0.0,76.0
23,0.0,0.0,0.0,77.0
24,0.0,0.0,0.0,75.0
25,0.0,0.0,0.0,76.0
26,0.0,0.0,0.0,76.0
27,0.0,0.0,0.0,76.0
28,0.0,0.0,0.0,76.0
29,0.0,0.0,0.0,76.0
30,0.0,0.0,0.0,76.0
31,0.0,0.0,0.0,76.0
32,0.0,0.0,0.0,76.0
33,0.0,0.0,0.0,76.0
34,0.0,0.0,0.0,75.0
35,0.0,0.0,0.0,76.0
36,0.0,0.0,0.0,76.0
37,0.0,0.0,0.0,76.0
38,0.0,0.0,0.0,76.0
39,0.0,0.0,0.0,76.0
40,0.0,0.0,0.0,76.0
41,0.0,0.0,0.0,76.0
42,0.0,0.0,0.0,76.0
43,0.0,0.0,0.0,76.0
44,0.0,0.0,0.0,76.0
45,0.0,0.0,0.0,76.0
46,0.0,0.0,0.0,76.0
47,0.0,0.0,0.0,76.0
48,0.0,0.0,0.0,76.0
49,0.0,0.0,0.0,76.0
50,0.0,0.0,0.0,75.0
51,0.0,0.0,0.0,77.0
52,0.0,0.0,0.0,76.0
53,0.0,0.0,0.0,76.0
54,0.0,0.0,0.0,76.0
55,0.0,0.0,0.0,76.0
56,0.0,0.0,0.0,76.0
57,0.0,0.0,0.0,76.0
58,0.0,0.0,0.0,76.0
59,0.0,0.0,0.0,76.0
60,0.0,0.0,0.0,77.0
61,0.0,0.0,0.0,76.0
62,0.0,0.0,0.0,76.0
63,0.0,0.0,0.0,76.0
64,0.0,0.0,0.0,76.0
65,0.0,0.0,0.0,74.0
66,0.0,0.0,0.0,76.0
67,0.007874015748031496,0.013157894736842105,0.009852216748768473,76.0
68,0.0,0.0,0.0,76.0
69,0.0,0.0,0.0,76.0
70,0.0,0.0,0.0,76.0
71,0.0,0.0,0.0,76.0
72,0.010605840476536394,0.9605263157894737,0.020980025865785314,76.0
73,0.0,0.0,0.0,75.0
74,0.0,0.0,0.0,77.0
75,0.0,0.0,0.0,76.0
76,0.0,0.0,0.0,76.0
77,0.0,0.0,0.0,76.0
78,0.0,0.0,0.0,76.0
79,0.0,0.0,0.0,76.0
80,0.0,0.0,0.0,76.0
81,0.0,0.0,0.0,76.0
82,0.0,0.0,0.0,76.0
83,0.0,0.0,0.0,76.0
84,0.0,0.0,0.0,76.0
85,0.0,0.0,0.0,76.0
86,0.0,0.0,0.0,76.0
87,0.0,0.0,0.0,76.0
88,0.0,0.0,0.0,76.0
89,0.0,0.0,0.0,76.0
90,0.0,0.0,0.0,76.0
91,0.0,0.0,0.0,75.0
92,0.0,0.0,0.0,26.0
accuracy,0.010553337136337706,0.010553337136337706,0.010553337136337706,0.010553337136337706
macro avg,0.00019870813144696653,0.010469722693831352,0.00033152949047907294,7012.0
weighted avg,0.00020029507602212774,0.010553337136337706,0.00033417718749373756,7012.0
