,count,mean,std,min,25%,50%,75%,max
10,2704.0,16.945986888557695,13.73250791999565,-0.71418893,1.1257172999999998,28.2827405,28.9228975,30.472502
15,2704.0,34.18936667326184,5.9556984848423635,9.995399,30.6003945,35.906113,38.50431375,41.14818
20,2704.0,10.128766461353548,0.8008089913373919,8.803062,9.649804,10.232995500000001,10.51219,19.362537
35,2704.0,42.39370295340237,0.7488387590468201,40.28915,41.8255775,42.4192905,43.00005925,47.62846
40,2704.0,5.928082042899408,0.6345607533217977,3.873143,5.3799825,5.96583605,6.530897875000001,6.9857106
50,2704.0,7.8785855853550295,0.6178336143918219,6.1272445,7.4907055,8.077548499999999,8.39959025,8.705315
60,2704.0,65.17979555399408,0.9207249980122264,63.681564,63.82255875,65.7399975,65.80444,65.92579
601,2704.0,73.6374040443787,12.193008237362989,65.66181,65.758985,65.80959250000001,92.1068725,95.54568
61,2704.0,73.63715587426036,12.193168417819932,65.66143,65.7586275,65.80925500000001,92.1068725,95.54568
101,2704.0,38.11521406397929,4.54101243605159,31.289808,33.14624275,41.213606,42.0880775,47.01257
103,2704.0,37.39151607766272,4.197469213685916,30.974895,32.83231775,40.166924,41.0756115,46.053455
105,2704.0,40.443104238165674,2.7988956846164483,35.813816,37.5144015,42.1252415,42.86053875,49.07493
107,2704.0,42.298794543269224,2.6986878990606806,37.79256,39.4898185,43.9207325,44.6259625,50.84076
109,2704.0,43.28610585392012,3.3414688109434727,37.893883,39.7452015,45.3191395,46.205206,51.457016
111,2704.0,44.958550554733726,2.021037133154717,41.214325,42.94193925,46.0759025,46.6629315,52.676247
113,2704.0,47.01665392196745,1.7065686129589075,43.661804,45.37327675,47.887885,48.442346,54.326885
115,2704.0,43.87538358801775,1.9705778196205357,40.254986,41.92729975,44.946698999999995,45.50582475,51.9038
117,2704.0,44.36737373964497,1.7165061946389335,41.360855,42.681326999999996,45.259383,45.6925425,52.989967
119,2704.0,48.40082278032545,0.9433858631147002,46.71482,47.745545,48.556305,48.845439999999996,56.809105
120,2704.0,48.91002293676035,1.1908522451087666,46.899063,47.88037575,49.287018,49.69063425,57.395
121,2704.0,50.249052014423086,0.9764409414504821,48.543114,49.687317750000005,50.320335,50.57444925,59.32309
123,2704.0,46.89683183025148,1.2020850649320087,44.934414,46.24253075,46.849925,47.174035,56.52127
125,2704.0,46.241043851701185,0.9223152079246625,44.61687,45.693842000000004,46.326975000000004,46.5912225,55.346756
127,2704.0,32.41121145266273,0.8127908621724149,30.989517,31.92744,32.521988,32.803746000000004,41.612938
129,2704.0,33.93297388572485,0.8125439210437009,32.512825,33.4504795,34.044787,34.3259515,43.132523
131,2704.0,47.64461582692308,0.8118831426031412,46.22725,47.162038,47.75664999999999,48.035923,56.841286
139,2704.0,38.98871881693787,1.113102601531068,34.546173,38.46139175,39.079730999999995,39.558627,47.147125
141,2704.0,46.48011795710059,1.6102116333975298,39.650684,45.8596565,46.816694999999996,47.29359275,53.896935
143,2704.0,47.324973052884616,3.56752803028869,32.47325,45.51571975,48.421292,49.633597,53.184372
145,2704.0,47.575845943047334,1.392653554638009,41.771557,47.02180025,47.792652000000004,48.2456805,55.124172
147,2704.0,42.38221395636095,1.2536975841262152,37.275993,41.818085,42.547082,43.0020035,50.03585
149,2704.0,43.2037909260355,1.200132396102791,38.383865,42.61813925,43.330295,43.82851875,50.90267
151,2704.0,38.46126346560651,0.889824533497025,36.224796,37.85828725,38.4886835,38.95780875,46.628254
153,2704.0,28.511430253328406,0.8876130582580996,26.309526,27.917001,28.5397425,29.00368975,36.697803
157,2704.0,44.455525771079884,0.8915675673770992,42.87551,43.823522499999996,44.60186,44.9143965,52.27145
159,2704.0,45.84523104622781,0.8403205878285721,44.201622,45.198319999999995,45.998863,46.347334000000004,52.842842
161,2704.0,45.929101650887574,0.8204590944196603,44.0886,45.2713445,46.017677500000005,46.490541750000006,52.36998
163,2704.0,45.512559066568045,0.8142365683034413,43.638195,44.8720445,45.597618999999995,46.08290275,51.835075
164,2704.0,45.51255801183432,0.8142365775681855,43.638195,44.8720445,45.597612,46.08290125,51.835075
166,2704.0,47.64615442085799,0.814236300262502,45.77179,47.005642,47.731205,48.2164985,53.968666
167,2704.0,48.096538793639056,0.7892565037790741,46.09206,47.475739499999996,48.1167795,48.704527750000004,53.92204
169,2704.0,48.09669945266272,0.7892569566359763,46.092285,47.47590775,48.1169835,48.7046495,53.922302
171,2704.0,47.49000718084319,0.7605900081613799,45.442215,46.92559525,47.497715,48.09582175,52.98925
173,2704.0,47.48294766826923,0.7601650439509107,45.435684,46.919716,47.490474,48.08843925,52.979767
177,2704.0,43.76927350776627,0.745455378405803,41.668,43.2033095,43.794795,44.372662000000005,48.93433
179,2704.0,43.77196394933432,0.7422105366103061,41.671776,43.20862425,43.803413,44.36966525,48.870914
181,2704.0,43.76774954400887,0.748851002936109,41.665543,43.1994255,43.792925,44.374036000000004,49.00366
183,2704.0,42.87719446597633,0.7563024031616122,40.759556,42.298446500000004,42.9085565,43.491545,48.079346
184,2704.0,41.02261913683432,0.787861107349997,38.88065,40.4846955,41.02647,41.653233,46.271584
185,2704.0,41.23270479363905,0.8086524320283588,39.055393,40.664876250000006,41.231646,41.881947,46.553776
187,2704.0,42.66103461908284,0.918369174604315,40.341053,41.95244375,42.766045,43.400998,48.46559
189,2704.0,45.25908955177515,0.8653470422990308,43.021915,44.593002,45.322107,45.9499255,51.032417
191,2704.0,39.370625178254436,1.237608725365607,36.61978,38.3012705,39.8032345,40.3830385,45.933792
193,2704.0,41.51331849408284,1.2269507918501634,38.78262,40.4532095,41.9395905,42.5160475,48.072445
195,2704.0,42.278476931213014,1.217677775958338,39.5667,41.226275,42.701008,43.27022425,48.83509
197,2704.0,40.265619289571006,1.4548364390765967,37.23336,38.928376,40.8805905,41.47598925,47.152225
199,2704.0,45.198739523668635,0.6738519628359813,43.2758,44.728899999999996,45.319708000000006,45.708626499999994,50.122036
201,2704.0,44.31889727181952,0.6639697130596388,42.416615,43.86742825,44.45563,44.814949999999996,49.19036
203,2704.0,43.68818157100592,0.6630982145361484,41.78743,43.23886775,43.824385,44.1830095,48.559666
204,2704.0,39.94295295044378,0.8790125258631838,37.673203,39.28069525,40.001862,40.657849999999996,45.57729
205,2704.0,38.176749678624255,0.6697362380703417,36.25713,37.713888749999995,38.30323,38.690329750000004,42.972
206,2704.0,43.86042362019231,0.5995972847987162,41.999336,43.456819,43.971704,44.30869250000001,47.71479
207,2704.0,41.55850862278106,0.6343485336464095,39.701187,41.1366795,41.706284999999994,42.03478,45.925587
208,2704.0,39.13374081028106,0.5724850175148887,37.268383,38.78766575,39.23641550000001,39.54399525,42.407043
209,2704.0,44.35172030251479,0.561258330766838,42.47896,44.01029125,44.49222,44.782722,46.6167
211,2704.0,41.518395321745565,0.5681249354308419,39.643356,41.17125225,41.6936115,41.96376375,43.44432
213,2704.0,41.4977387237426,0.5735007987479495,39.602554,41.15221,41.682803500000006,41.948626250000004,43.38368
215,2704.0,41.45621876331361,0.5900031470346446,39.485756,41.12287875,41.6531905,41.9186905,43.314682
217,2704.0,41.756737569156805,0.5917333531037565,39.77851,41.4246525,41.9544925,42.22055425,43.61237
219,2704.0,42.36385698113906,0.5927381728269822,40.381134,42.03250225,42.562178,42.828913,44.217842
225,2704.0,41.14580766568047,0.5922717447925918,39.16517,40.81411375,41.343868,41.610288749999995,43.00056
229,2704.0,40.2800386364645,0.5872858593637424,38.46771,39.95536825,40.450478,40.75776,41.317883
231,2704.0,41.95552270377218,0.5876562720332832,40.141537,41.631318,42.12632,42.4337155,42.99276
237,2704.0,39.213248139053256,0.5823820633547463,37.458153,38.87217,39.3827305,39.691246500000005,40.134827
