Time,10,15,20,35,40,50,60,601,61,101,103,105,107,109,111,113,115,117,119,120,121,123,125,127,129,131,139,141,143,145,147,149,151,153,157,159,161,163,164,166,167,169,171,173,177,179,181,183,184,185,187,189,191,193,195,197,199,201,203,204,205,206,207,208,209,211,213,215,217,219,225,229,231,237,239,241,243,247,249,251,253,255,257,259,261,263,265,267,269,271,273,275,River,Lake,1,2,3,Leak_Node,Leak_Label,Leak_Size
0,-0.4500702,28.593657,8.839204,40.61247,3.9928799,7.1628,63.706444,92.187874,92.187874,31.553928,31.239683,36.066795,38.04603,38.158802,41.486073,43.936718,40.5136,41.58404,47.412575,47.280834,49.68564,47.081696,45.545506,31.315067,32.8354,46.545223,37.20859,44.214314,43.508984,45.500443,40.44829,41.32943,37.16854,27.230913,43.286083,44.427105,44.342678,43.898136,43.898136,46.031727,46.376137,46.37636,45.7412,45.734497,41.980236,41.976078,41.986042,41.0627,39.16405,39.342834,40.624058,43.309044,36.89622,39.059246,39.842846,37.508717,43.53507,42.67069,42.0415,37.957767,36.515156,42.335087,39.958225,37.69334,43.05871,40.274982,40.25496,40.196102,40.49483,41.10091,39.883347,39.160175,40.835278,38.125824,38.430702,38.43072,38.125797,36.90783,36.90783,33.25369,31.461088,34.220524,41.14757,38.57631,45.714825,45.664883,45.033703,38.151543,44.65084,42.623016,40.47756,39.655293,0.0,0.0,3.9928799,7.1628,8.839199,None,0,0.0
3600,28.253721,28.887156,9.099179,41.51377,4.1912026,6.752899,63.751488,92.49032,92.49032,39.86787,38.76359,41.14447,42.90479,43.917774,45.09152,46.935894,44.1239,44.795322,48.46256,49.07263,50.567863,47.94565,46.316494,31.743973,33.26367,46.967415,37.56419,44.544044,43.802483,45.842808,40.822872,41.720272,37.794167,27.851578,44.327133,45.463226,45.379498,44.928135,44.92813,47.061718,47.36522,47.36567,46.661606,46.653477,42.876884,42.8694,42.8875,41.992485,40.139942,40.38485,41.961254,44.534092,38.939503,41.077663,41.8404,39.98203,44.115303,43.215557,42.58443,39.191044,37.07498,42.627384,40.386703,37.831306,42.928867,40.055294,40.01055,39.893753,40.186512,40.78914,39.573174,38.822105,40.495934,37.790363,38.082718,38.082672,37.777634,36.557945,36.55796,32.900364,31.061285,33.836704,43.902508,41.47681,49.078533,49.147617,46.04539,39.72237,45.767307,43.530823,41.041176,40.189754,0.0,0.0,4.1912026,6.752899,9.09917,None,0,0.0
7200,28.764309,30.003231,9.450786,42.429108,4.620553,6.3697643,63.793495,92.77364,92.77364,41.517067,40.463516,42.57263,44.33782,45.618263,46.423203,48.171158,45.39577,45.88123,49.37841,50.042973,51.39181,48.75257,47.07101,32.246735,33.76747,47.476234,38.41828,45.631126,44.91856,46.980885,41.977005,42.878544,38.91869,28.973625,45.260044,46.413826,46.33892,45.885418,45.885418,48.019012,48.311596,48.311863,47.5929,47.584732,43.787186,43.77441,43.802868,42.909157,41.079483,41.328667,42.944324,45.506203,40.02485,42.158993,42.919144,41.14474,45.038017,44.133957,43.503254,40.160294,37.98759,43.3688,41.227806,38.459743,43.361244,40.421604,40.381824,40.312836,40.61052,41.215996,39.99871,38.95931,40.634186,37.885788,38.089092,38.088192,37.783245,36.538284,36.538452,32.855026,30.928375,33.690605,44.96266,42.549416,50.174667,50.270042,46.996147,40.73085,46.730705,44.45073,41.956635,41.0987,0.0,0.0,4.620553,6.3697643,9.450771,None,0,0.0
10800,28.87142,30.415579,9.869709,42.81718,5.1589575,6.5349965,63.81314,92.9066,92.9066,41.86266,40.817886,42.95039,44.717487,45.990387,46.809204,48.557953,45.7821,46.26777,49.765045,50.429447,51.777653,49.130444,47.462555,32.656273,34.177036,47.885975,38.82923,46.04226,45.330906,47.391388,42.386257,43.287178,39.318798,29.373783,45.646152,46.79895,46.723244,46.269512,46.26951,48.403107,48.694683,48.694942,47.97463,47.96624,44.17741,44.166553,44.19094,43.299255,41.45459,41.711216,43.329433,45.891712,40.411938,42.54605,43.30614,41.531834,45.36705,44.45527,43.82305,40.5445,38.315876,43.669724,41.541557,38.74612,43.622395,40.67426,40.63412,40.56687,40.86474,41.470318,40.252983,39.184525,40.85944,38.10753,38.299942,38.298927,37.993988,36.74562,36.745804,33.058357,31.11436,33.876114,45.348366,42.934948,50.5602,50.654884,47.379597,41.116528,47.115646,44.83708,42.28497,41.419266,0.0,0.0,5.1589575,6.5349965,9.869695,None,0,0.0
14400,29.65928,31.970745,10.28473,44.297886,5.6659727,6.740044,63.877914,93.34698,93.34698,44.400757,43.429104,45.22699,46.99512,48.61418,48.884487,50.52082,47.766354,48.009373,51.171574,52.03388,53.051693,50.378204,48.613033,33.352013,34.874107,48.587944,40.01371,47.55655,46.886074,48.99804,44.026188,44.93709,40.956665,31.007254,47.09047,48.287487,48.23748,47.78631,47.786304,49.919907,50.2191,50.21918,49.48942,49.481594,45.64846,45.626976,45.671818,44.78366,43.00574,43.245598,44.921173,47.4523,42.196167,44.32926,45.083626,43.41075,47.0141,46.11107,45.479942,42.116043,39.972538,45.306965,43.20261,40.356377,45.185814,42.221684,42.196426,42.17584,42.47851,43.08688,41.86825,40.563675,42.23962,39.39805,39.471313,39.468914,39.164066,37.872425,37.872803,34.12857,31.882603,34.631485,47.071335,44.6778,52.343773,52.477245,48.902706,42.7559,48.670105,46.327477,43.938866,43.075676,0.0,0.0,5.6659727,6.740044,10.284711,None,0,0.0
18000,29.004883,36.06442,10.455683,42.687435,6.0642786,7.2540083,65.79892,65.79857,65.798225,42.293125,41.27417,42.90145,44.663666,46.372982,46.625168,48.358234,45.45774,45.621353,48.66793,49.567204,50.366478,46.775444,46.404125,32.6933,34.21559,47.928513,39.522896,47.19349,48.574516,48.219486,42.97498,43.775375,38.835403,28.88185,44.746742,46.168167,46.27275,45.85552,45.85552,47.989117,48.430878,48.430992,47.79536,47.78788,44.061195,44.06115,44.061436,43.1828,41.367847,41.60023,43.145756,45.68093,40.215553,42.34857,43.10328,41.347084,45.40407,44.508514,43.8763,40.386414,38.381676,43.95088,41.713398,39.15117,44.242435,41.366444,41.344883,41.31555,41.61732,42.22517,41.006783,39.992615,41.668365,38.90386,39.112297,39.111366,38.806503,37.55989,37.560047,33.872063,31.913786,34.665077,44.65132,42.264214,49.95258,50.08936,47.06671,40.8919,46.895992,44.69366,42.344097,41.486565,0.0,0.0,6.0642786,7.2540083,10.455683,None,0,0.0
21600,29.09896,36.19805,10.400481,42.923595,6.2691965,7.563003,65.81933,65.81899,65.81866,42.59644,41.585663,43.184753,44.946804,46.687477,46.883106,48.61179,45.70705,45.85592,48.833443,49.759712,50.511276,47.050423,46.50972,32.689747,34.212227,47.925568,39.598476,47.324463,48.708145,48.36185,43.12369,43.926502,39.0027,29.048243,44.927574,46.369556,46.487793,46.073307,46.073307,48.2069,48.65987,48.659966,48.03018,48.022835,44.297096,44.29696,44.29749,43.419106,41.612457,41.841217,43.383945,45.91472,40.462357,42.595154,43.34919,41.598198,45.669674,44.776905,44.1449,40.62559,38.649082,44.239643,41.9918,39.451683,44.563324,41.694176,41.67457,41.649235,41.95142,42.559505,41.34101,40.329906,42.005753,39.238415,39.446835,39.445892,39.141037,37.893997,37.89415,34.205296,32.24078,34.990967,44.87025,42.486935,50.187527,50.32726,47.29206,41.129246,47.127796,44.929363,42.611454,41.755924,0.0,0.0,6.2691965,7.563003,10.400481,None,0,0.0
25200,28.957567,39.759125,10.501099,42.958897,6.4884157,7.8928432,65.82474,65.824394,65.82405,42.140545,41.11787,42.85925,44.626556,46.248074,46.687412,48.460655,45.531822,45.72218,48.90016,49.7385,50.586124,47.123077,46.590916,32.788307,34.311653,48.02358,40.20089,48.294247,50.884327,49.186615,43.847225,44.607815,39.27336,29.312376,44.981365,46.407726,46.516552,46.10086,46.10086,48.234455,48.683327,48.68348,48.056446,48.04888,44.33315,44.333748,44.332954,43.450085,41.617683,41.851532,43.378403,45.925346,40.384426,42.517822,43.274117,41.482952,45.64417,44.746956,44.114075,40.625626,38.62229,44.2234,41.965363,39.44699,44.57868,41.71633,41.693085,41.654285,41.955082,42.562363,41.344242,40.40299,42.078533,39.33004,39.569077,39.56848,39.263596,38.02729,38.027397,34.352257,32.455597,35.2095,44.773075,42.378365,50.046032,50.173134,47.316486,41.10799,47.1433,44.962223,42.584694,41.726357,0.0,0.0,6.4884157,7.8928432,10.501094,None,0,0.0
28800,29.072077,39.92029,10.5988035,43.13039,6.6041713,8.048806,65.83466,65.83433,65.83399,42.509766,41.49676,43.18396,44.949947,46.622944,46.96006,48.714035,45.794525,45.96345,49.05554,49.93116,50.72387,47.256798,46.722286,32.89831,34.42176,48.134434,40.34189,48.45528,51.045494,49.35071,44.0119,44.772617,39.437897,29.476961,45.142876,46.57657,46.689777,46.274628,46.274628,48.408226,48.85895,48.85907,48.230625,48.223103,44.504387,44.504543,44.50438,43.623135,41.799583,42.03268,43.56709,46.107056,40.605957,42.739117,43.494385,41.720875,45.828743,44.930626,44.29709,40.81166,38.808926,44.42285,42.15827,39.653847,44.798397,41.94035,41.919647,41.887913,42.189438,42.797142,41.578823,40.623146,42.298843,39.545326,39.778095,39.77742,39.472553,38.233772,38.23389,34.5554,32.642166,35.39412,44.99855,42.608753,50.290565,50.423172,47.49168,41.303967,47.32309,45.134438,42.77121,41.910896,0.0,0.0,6.6041713,8.048806,10.5988035,None,0,0.0
32400,28.951454,39.794704,10.71296,43.14357,6.757488,8.261295,65.80914,65.8088,65.80846,42.120823,41.098927,42.855392,44.624737,46.239502,46.722908,48.521664,45.560364,45.740517,48.914814,49.75189,50.572693,46.91315,46.615425,32.93204,34.455246,48.166954,40.28092,48.329865,50.919903,49.21357,43.8707,44.630142,39.29233,29.331253,45.0265,46.4955,46.633648,46.224438,46.224438,48.358036,48.83419,48.83435,48.22586,48.218285,44.519775,44.52299,44.517582,43.63384,41.78737,42.021297,43.527252,46.07805,40.490215,42.62364,43.38017,41.568085,45.811806,44.913807,44.280277,40.781845,38.791473,44.42072,42.14583,39.6634,44.828228,41.977036,41.95435,41.91351,42.2141,42.82126,41.603195,40.69911,42.374607,39.63017,39.882946,39.88249,39.577606,38.345554,38.34564,34.67549,32.800026,35.554493,44.78708,42.392227,50.061108,50.186394,47.45817,41.240543,47.295937,45.142544,42.75381,41.894447,0.0,0.0,6.757488,8.261295,10.712964,None,0,0.0
